UPH,mcType,material,pinPkgTyp,oper,wireType,wirePerDie,dieX,dieY,grindingThickness,pkgX,pkgY,pkgZ,leadCount,stripSize,wireCount,wireDia
1421.471079,ICONN,L/F,DFN,2200,AU,0.038345353,68,66,125,3,2,0.55,8,1600,10,0.7
1371.831425,ICONN,L/F,DFN,2200,AU,0.03899441,54,66,125,3,2,0.55,8,1600,10,0.7
1382.528279,ICONN,L/F,DFN,2200,AU,0.039820114,54,66,125,3,2,0.55,8,1600,10,0.7
1380.628658,ICONN,L/F,DFN,2200,AU,0.039968688,68,66,125,3,2,0.55,8,1600,10,0.7
1360.713217,ICONN,L/F,DFN,2200,AU,0.040055655,54,66,125,3,2,0.55,8,1600,10,0.7
1380.092456,ICONN,L/F,DFN,2200,AU,0.042559482,54,66,125,3,2,0.55,8,1600,10,0.7
1386.261228,ICONN,L/F,DFN,2200,AU,0.042719172,54,66,125,3,2,0.55,8,1600,10,0.7
1373.231083,ICONN,L/F,DFN,2200,AU,0.042843984,54,66,125,3,2,0.55,8,1600,10,0.7
1404.397663,ICONN,L/F,DFN,2200,AU,0.043411689,68,66,125,3,2,0.55,8,1600,10,0.7
1391.779278,ICONN,L/F,DFN,2200,AU,0.044875445,54,66,125,3,2,0.55,8,1600,10,0.7
1317.775534,ICONN,L/F,DFN,2200,AU,0.045686157,63,92,110,3,4,0.55,8,832,10,0.7
1282.372506,ICONN,L/F,DFN,2200,AU,0.046347222,63,92,110,3,4,0.55,8,832,10,0.7
1311.084869,ICONN,L/F,DFN,2200,AU,0.046460196,63,92,110,3,4,0.55,8,832,10,0.7
1275.799908,ICONN,L/F,DFN,2200,AU,0.04710057,63,92,110,3,4,0.55,8,832,10,0.7
1315.157935,ICONN,L/F,DFN,2200,AU,0.047630129,63,92,110,3,4,0.55,8,832,10,0.7
1287.36137,ICONN,L/F,DFN,2200,AU,0.047702555,63,92,110,3,4,0.55,8,832,10,0.7
1305.973718,ICONN,L/F,DFN,2200,AU,0.048217421,63,92,110,3,4,0.55,8,832,10,0.7
1201.843823,ICONN,L/F,DFN,2200,AU,0.052072889,63,92,110,3,4,0.55,8,832,10,0.7
1379.087753,ICONN,L/F,DFN,2200,AU,0.081812191,54,66,125,3,2,0.55,8,1600,10,0.7
269.129117,ICONN,L/F,FPSLGA,2200,AU,0.059440828,409,139,335,14,4.1,0.61,26,240,32,0.6
320.0790709,ICONN,L/F,FPSLGA,2200,AU,0.099794798,376,330,160,10.8,10.8,0.4,12,120,27,0.6
268.8868513,ICONN,L/F,FPSLGA,2200,AU,0.107444653,409,139,335,14,4.1,0.61,26,240,32,0.6
272.3285003,ICONN,L/F,FPSLGA,2200,AU,0.107634574,409,139,335,14,4.1,0.61,26,240,32,0.6
270.4819204,ICONN,L/F,FPSLGA,2200,AU,0.107898002,409,139,335,14,4.1,0.61,26,240,32,0.6
272.3206387,ICONN,L/F,FPSLGA,2200,AU,0.108331362,409,139,335,14,4.1,0.61,26,240,32,0.6
274.7088352,ICONN,L/F,FPSLGA,2200,AU,0.108403292,409,139,335,14,4.1,0.61,26,240,32,0.6
274.2045116,ICONN,L/F,FPSLGA,2200,AU,0.108490777,409,139,335,14,4.1,0.61,26,240,32,0.6
272.5464517,ICONN,L/F,FPSLGA,2200,AU,0.108772675,409,139,335,14,4.1,0.61,26,240,32,0.6
273.4199441,ICONN,L/F,FPSLGA,2200,AU,0.109119569,409,139,335,14,4.1,0.61,26,240,32,0.6
268.8271731,ICONN,L/F,FPSLGA,2200,AU,0.10962766,409,139,335,14,4.1,0.61,26,240,32,0.6
270.8202712,ICONN,L/F,FPSLGA,2200,AU,0.10972048,409,139,335,14,4.1,0.61,26,240,32,0.6
270.315719,ICONN,L/F,FPSLGA,2200,AU,0.109934077,409,139,335,14,4.1,0.61,26,240,32,0.6
271.5745624,ICONN,L/F,FPSLGA,2200,AU,0.110700081,409,139,335,14,4.1,0.61,26,240,32,0.6
403.0276376,ICONN,L/F,FPSLGA,2200,AU,0.12960405,73,73,50,14.5,14.95,0.695,41,56,97,0.6
270.3980686,ICONN,L/F,FPSLGA,2200,AU,0.146908257,409,139,335,14,4.1,0.61,26,240,32,0.6
169.0714705,ICONN,L/F,FPSLGA,3200,AU,0.088187324,73,73,50,14.5,14.95,0.695,41,56,97,0.6
111.8739161,ICONN,L/F,FPSSLGA,2200,AU,0.06356623,51,139,50,11.1,11.1,0.65,28,120,29,0.6
111.8739161,ICONN,L/F,FPSSLGA,2200,AU,0.06356623,51,139,50,11.1,11.1,0.65,28,120,32,0.6
287.2737038,ICONN,L/F,FPSSLGA,2200,AU,0.075758666,51,139,50,11.1,11.1,0.65,28,120,29,0.6
287.2737038,ICONN,L/F,FPSSLGA,2200,AU,0.075758666,51,139,50,11.1,11.1,0.65,28,120,32,0.6
304.5332945,ICONN,L/F,FPSSLGA,2200,AU,0.103285991,73,73,50,18.24,10.74,1.06,28,72,27,0.6
254.0087416,ICONN,L/F,FPSSLGA,2200,AU,0.113375213,51,139,50,11.1,11.1,0.65,28,120,29,0.6
254.0087416,ICONN,L/F,FPSSLGA,2200,AU,0.113375213,51,139,50,11.1,11.1,0.65,28,120,32,0.6
246.5646462,ICONN,L/F,FPSSLGA,2200,AU,0.226608287,73,73,50,18.04,10.54,0.825,41,72,86,0.6
252.7083916,ICONN,L/F,FPSSLGA,2200,AU,0.22871432,73,73,50,18.04,10.54,0.825,41,72,86,0.6
304.463673,ICONN,L/F,FPSSLGA,3200,AU,0.095521634,73,73,50,18.04,10.54,0.825,41,72,86,0.6
263.4337943,ICONN,L/F,FPSSLGA,3200,AU,0.110228618,51,139,50,11.1,11.1,0.65,28,120,29,0.6
263.4337943,ICONN,L/F,FPSSLGA,3200,AU,0.110228618,51,139,50,11.1,11.1,0.65,28,120,32,0.6
262.697386,ICONN,L/F,FPSSLGA,3200,AU,0.11608923,51,139,50,11.1,11.1,0.65,28,120,29,0.6
262.697386,ICONN,L/F,FPSSLGA,3200,AU,0.11608923,51,139,50,11.1,11.1,0.65,28,120,32,0.6
34.61538462,ICONN,L/F,FPSTLG,2200,AU,0.124803948,294,298,150,8.9,11.8,0.826,16,126,24,0.6
262.7426402,ICONN,L/F,FPSTLGA,2200,AU,0.078905169,294,298,150,8.9,11.8,0.84,16,126,24,0.6
30.35929572,ICONN,L/F,FPSTLGA,2200,AU,0.088904629,139,51,50,16,3.7,1,34,238,29,0.6
269.7225863,ICONN,L/F,FPSTLGA,2200,AU,0.129936283,138,102,50,11.1,11.1,0.63,44,120,59,0.6
285.636401,ICONN,L/F,FPSTLGA,2200,AU,0.130475672,138,102,50,11.1,11.1,0.63,44,120,59,0.6
284.251231,ICONN,L/F,FPSTLGA,2200,AU,0.131072491,138,102,50,11.1,11.1,0.63,44,120,59,0.6
285.8610702,ICONN,L/F,FPSTLGA,2200,AU,0.131894406,138,102,50,11.1,11.1,0.63,44,120,59,0.6
286.6696692,ICONN,L/F,FPSTLGA,2200,AU,0.132286595,138,102,50,11.1,11.1,0.63,44,120,59,0.6
283.1091691,ICONN,L/F,FPSTLGA,2200,AU,0.132840023,138,102,50,11.1,11.1,0.63,44,120,59,0.6
274.3995486,ICONN,L/F,FPSTLGA,2200,AU,0.133680222,138,102,50,11.1,11.1,0.63,44,120,59,0.6
284.3867007,ICONN,L/F,FPSTLGA,2200,AU,0.135526464,138,102,50,11.1,11.1,0.63,44,120,59,0.6
270.0601634,ICONN,L/F,FPSTLGA,2200,AU,0.1358985,138,102,50,11.1,11.1,0.63,44,120,59,0.6
280.7861085,ICONN,L/F,FPSTLGA,2200,AU,0.136550363,138,102,50,11.1,11.1,0.63,44,120,59,0.6
285.0214097,ICONN,L/F,FPSTLGA,2200,AU,0.139221712,138,102,50,11.1,11.1,0.63,44,120,59,0.6
270.7664635,ICONN,L/F,FPSTLGA,2200,AU,0.141712806,138,102,50,11.1,11.1,0.63,44,120,59,0.6
284.2790445,ICONN,L/F,FPSTLGA,2200,AU,0.147236642,138,102,50,11.1,11.1,0.63,44,120,59,0.6
281.9802992,ICONN,L/F,FPSTLGA,2200,AU,0.153597564,138,102,50,11.1,11.1,0.63,44,120,59,0.6
273.8834799,ICONN,L/F,FPSTLGA,2200,AU,0.167224802,294,298,150,8.9,11.8,0.84,16,126,24,0.6
282.7267296,ICONN,L/F,FPSTLGA,2200,AU,0.170812064,138,102,50,11.1,11.1,0.63,44,120,59,0.6
0.489958176,ICONN,L/F,FPSTLGA,2200,AU,0.404406561,294,298,150,8.9,11.8,0.86,16,126,24,0.6
257.2408446,ICONN,L/F,FPSTLGA,3200,AU,0.11493279,139,51,50,16,3.7,1,34,238,29,0.6
262.4056611,ICONN,L/F,FPSTLGA,3200,AU,0.129198112,138,102,50,11.1,11.1,0.63,44,120,59,0.6
261.4582568,ICONN,L/F,FPSTLGA,3200,AU,0.131137505,138,102,50,11.1,11.1,0.63,44,120,59,0.6
261.2483443,ICONN,L/F,FPSTLGA,3200,AU,0.131963494,138,102,50,11.1,11.1,0.63,44,120,59,0.6
263.2004431,ICONN,L/F,FPSTLGA,3200,AU,0.132640878,138,102,50,11.1,11.1,0.63,44,120,59,0.6
265.7321531,ICONN,L/F,FPSTLGA,3200,AU,0.133388579,138,102,50,11.1,11.1,0.63,44,120,59,0.6
272.0360055,ICONN,L/F,FPSTLGA,3200,AU,0.134001241,138,102,50,11.1,11.1,0.63,44,120,59,0.6
263.0846045,ICONN,L/F,FPSTLGA,3200,AU,0.144283787,138,102,50,11.1,11.1,0.63,44,120,32,0.6
263.0846045,ICONN,L/F,FPSTLGA,3200,AU,0.144283787,138,102,50,11.1,11.1,0.63,44,120,59,0.6
264.7759058,ICONN,L/F,FPSTLGA,3200,AU,0.145810862,138,102,50,11.1,11.1,0.63,44,120,59,0.6
260.8944545,ICONN,L/F,FPSTLGA,3200,AU,0.416001441,138,102,50,11.1,11.1,0.63,44,120,59,0.6
735.4315951,ICONN,L/F,QFN,2200,AU,0.028014688,47,52,125,2,3,0.55,20,1728,20,0.8
723.9856177,ICONN,L/F,QFN,2200,AU,0.03899493,53,59,125,2,3,0.55,20,1728,20,0.8
702.6549429,ICONN,L/F,QFN,2200,AU,0.053011689,53,59,125,2,3,0.55,20,1728,20,0.8
723.0902105,ICONN,L/F,QFN,2200,AU,0.054121399,47,52,125,2,3,0.55,20,1728,20,0.8
732.7691478,ICONN,L/F,QFN,2200,AU,0.054217388,47,52,125,2,3,0.55,20,1728,20,0.8
706.5643322,ICONN,L/F,QFN,2200,AU,0.054259745,47,52,125,2,3,0.55,20,1728,20,0.8
736.7247521,ICONN,L/F,QFN,2200,AU,0.054299315,47,52,125,2,3,0.55,20,1728,20,0.8
739.097961,ICONN,L/F,QFN,2200,AU,0.054357628,47,52,125,2,3,0.55,20,1728,20,0.8
727.175699,ICONN,L/F,QFN,2200,AU,0.054443529,47,52,125,2,3,0.55,20,1728,20,0.8
736.9687193,ICONN,L/F,QFN,2200,AU,0.054444094,47,52,125,2,3,0.55,20,1728,20,0.8
690.56571,ICONN,L/F,QFN,2200,AU,0.054508313,47,52,125,2,3,0.55,20,1728,20,0.8
739.8548708,ICONN,L/F,QFN,2200,AU,0.054515358,47,52,125,2,3,0.55,20,1728,20,0.8
724.0490669,ICONN,L/F,QFN,2200,AU,0.054516812,47,52,125,2,3,0.55,20,1728,20,0.8
736.423271,ICONN,L/F,QFN,2200,AU,0.054526773,47,52,125,2,3,0.55,20,1728,20,0.8
737.5103383,ICONN,L/F,QFN,2200,AU,0.054560967,47,52,125,2,3,0.55,20,1728,20,0.8
734.0425267,ICONN,L/F,QFN,2200,AU,0.054569525,47,52,125,2,3,0.55,20,1728,20,0.8
734.2163988,ICONN,L/F,QFN,2200,AU,0.054570444,47,52,125,2,3,0.55,20,1728,20,0.8
736.0490173,ICONN,L/F,QFN,2200,AU,0.054618811,47,52,125,2,3,0.55,20,1728,20,0.8
736.1453637,ICONN,L/F,QFN,2200,AU,0.054644549,47,52,125,2,3,0.55,20,1728,20,0.8
736.1149025,ICONN,L/F,QFN,2200,AU,0.054651513,47,52,125,2,3,0.55,20,1728,20,0.8
740.8940145,ICONN,L/F,QFN,2200,AU,0.054699872,47,52,125,2,3,0.55,20,1728,20,0.8
731.5427835,ICONN,L/F,QFN,2200,AU,0.054728345,47,52,125,2,3,0.55,20,1728,20,0.8
739.9588982,ICONN,L/F,QFN,2200,AU,0.054743166,47,52,125,2,3,0.55,20,1728,20,0.8
734.0703191,ICONN,L/F,QFN,2200,AU,0.05475924,47,52,125,2,3,0.55,20,1728,20,0.8
569.1484398,ICONN,L/F,QFN,2200,AU,0.054761203,47,52,125,2,3,0.55,20,1728,20,0.8
730.063968,ICONN,L/F,QFN,2200,AU,0.054789913,47,52,125,2,3,0.55,20,1728,20,0.8
733.5403601,ICONN,L/F,QFN,2200,AU,0.054857096,47,52,125,2,3,0.55,20,1728,20,0.8
733.7925083,ICONN,L/F,QFN,2200,AU,0.054899245,47,52,125,2,3,0.55,20,1728,20,0.8
738.1780727,ICONN,L/F,QFN,2200,AU,0.055043626,47,52,125,2,3,0.55,20,1728,20,0.8
740.9778537,ICONN,L/F,QFN,2200,AU,0.05506895,47,52,125,2,3,0.55,20,1728,20,0.8
736.5854647,ICONN,L/F,QFN,2200,AU,0.055116873,47,52,125,2,3,0.55,20,1728,20,0.8
723.0661687,ICONN,L/F,QFN,2200,AU,0.055228258,47,52,125,2,3,0.55,20,1728,20,0.8
